Disease,Symptoms,Diagnosis & Tests,Symptom Severity,Duration of Treatment,Medical History,Current Medications,Risk Factors,Environmental Factors,Sleep Patterns,Stress Levels,Physical Activity Levels,Family History,Dietary Habits,Allergies (Food/Env),Seasonal Variation,Age Group,Gender,Occupation and Lifestyle,Cultural Preferences,Formulation,Doshas,Constitution/Prakriti,Diet and Lifestyle Recommendations,Yoga & Physical Therapy,Medical Intervention,Prevention,Prognosis,Complications,Recommendations for Patient,Herbal/Alternative Remedies,Ayurvedic Herbs Recommended
Mucopolysaccharidosis,"Joint stiffness, heart valve problems, developmental delay","Blood Tests, Genetic Testing",Severe,Lifelong,"Genetic, Skeletal abnormalities",Enzyme replacement therapy,"Genetic Mutations, Family History","Genetic, Developmental environment",Irregular sleep,High stress,Low,Family history of mucopolysaccharidosis,"High-protein, Low-fat diet",,All seasons,Childhood to adulthood,Both genders,Requires caregiver support,Avoids environmental stressors,"Ashwagandha (5g), Brahmi (2g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Focus on joint health and mobility; consume anti-inflammatory foods like turmeric and ginger.,None specific,"Enzyme Replacement, Supportive Care","Genetic Counseling, Early Diagnosis",Can be Managed with Treatment,"Organ Damage, Cognitive Decline","Early Diagnosis, Regular Monitoring",None specific,None specific
Multiple Sclerosis,"Muscle weakness, vision problems, difficulty walking","MRI, Blood Tests, Neurological Exam",Severe,Lifelong,"Genetic, Autoimmune, Neurological","Immunosuppressants, Steroids","Genetics, Immune Dysfunction","Cold, Stress, Viral infections",Irregular sleep,High stress,Low,Family history of MS,"Low-fat, High-fiber diet",,"Winter, Rainy season","Adults, Young adults",Both genders,Sedentary lifestyle,Avoids high-stress environments,"Ashwagandha (5g), Turmeric (1/2 tsp), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Engage in gentle exercise; consume omega-3 fatty acids and antioxidants.,Physical Therapy for Mobility,"Medications, Physical Therapy","Early Diagnosis, Stress Management",Can be Managed with Treatment,"Mobility Issues, Cognitive Decline","Regular Monitoring, Healthy Lifestyle",None specific,"Ashwagandha, Brahmi"
Multiple Sulfatase Deficiency,"Developmental delay, seizures, vision problems","Genetic Testing, Enzyme Tests",Severe,Lifelong,"Genetic, Developmental delays",Symptom-specific therapy,"Genetic Mutations, Family History","Genetic, Developmental environment",Irregular sleep,High stress,Low,Family history of genetic disorders,"High-protein, Nutrient-rich diet",,All seasons,Childhood,Both genders,Requires caregiver support,Avoids environmental stressors,"Ashwagandha (5g), Brahmi (2g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Focus on cognitive and developmental support; provide a balanced diet.,None specific,"Enzyme Replacement, Supportive Care","Genetic Counseling, Early Diagnosis",Can be Managed with Treatment,"Cognitive Impairment, Organ Damage","Early Diagnosis, Regular Monitoring",None specific,None specific
Muscular Dystrophy,"Muscle weakness, difficulty walking, breathing problems","Genetic Testing, Muscle Biopsy",Severe,Lifelong,"Genetic, Muscle weakness","Steroids, Physiotherapy","Genetic Mutations, Family History","Genetic, Physical strain",Irregular sleep,High stress,Low,Family history of muscular dystrophy,"Balanced, High-protein diet",,All seasons,Childhood to adulthood,Both genders,Limited physical activity,Avoids muscle strain,"Ashwagandha (5g), Shatavari (5g), Warm water (200ml)",Vata,Vata-Prakriti,Maintain proper muscle care; engage in regular physical therapy.,Physical Therapy for Mobility,"Supportive Care, Medications","Genetic Counseling, Early Diagnosis",Can be Managed with Treatment,"Muscle Weakness, Respiratory Issues","Early Diagnosis, Regular Monitoring",None specific,None specific
Myasthenia Gravis,"Muscle weakness, drooping eyelids, difficulty swallowing","Blood Tests, Physical Exam",Moderate to Severe,Lifelong,"Autoimmune, Neurological","Immunosuppressants, Anticholinesterase","Autoimmune Dysfunction, Genetic Factors","Stress, Viral infections",Irregular sleep,High stress,Low,Family history of autoimmune diseases,"Low-sodium, Balanced diet",,All seasons,"Adults, Older adults",Both genders,Sedentary lifestyle,Avoids fatigue-inducing activities,"Ashwagandha (5g), Brahmi (2g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Avoid heavy physical exertion; maintain a nutrient-dense diet.,Physical Therapy for Muscle Strength,"Medications, Surgery","Stress Management, Early Diagnosis",Can be Managed with Medication,"Muscle Weakness, Respiratory Issues","Early Diagnosis, Regular Monitoring",None specific,"Ashwagandha, Guduchi"
Mycetoma,"Swelling, pain, skin ulcers, pus discharge","Skin Biopsy, Blood Tests",Moderate to Severe,6-12 months,"Fungal, Parasitic infection","Antifungals, Antibiotics","Poor Hygiene, Injury, Infection","Poor sanitation, Wet environments",Irregular sleep,Moderate stress,Low,Family history of fungal infections,"High-protein, Hydrating diet",,Monsoon season,Adults,Both genders,Exposure to wet environments,Avoids wet environments,"Neem leaves (5-6), Water (as needed)",Kapha,Kapha-Prakriti,Maintain cleanliness of affected area; consume immune-boosting foods.,None specific,"Antifungal, Antibiotics, Surgery","Good Hygiene, Wound Care",Can be Managed with Medication,"Organ Damage, Skin Deformities","Regular Hygiene, Wound Care",None specific,None specific
Myotonia Congenita,"Muscle stiffness, difficulty relaxing muscles","Genetic Testing, Physical Exam",Moderate,Lifelong,"Genetic, Muscle stiffness",Symptom-specific therapy,"Genetic Mutations, Family History","Genetic, Physical strain",Irregular sleep,High stress,Low,Family history of myotonia,"High-protein, Balanced diet",,All seasons,Childhood to adulthood,Both genders,Limited physical activity,Avoids strenuous activities,"Ashwagandha (5g), Turmeric (1/2 tsp), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Practice relaxation techniques; focus on reducing muscle stiffness with stretching.,Physical Therapy for Mobility,"Supportive Care, Medications","Genetic Counseling, Early Diagnosis",Can be Managed with Treatment,"Muscle Stiffness, Weakness","Early Diagnosis, Regular Monitoring",None specific,None specific
Naegleria Infection,"Severe headache, fever, nausea, stiff neck","CSF Testing, Blood Tests",Severe,1-2 weeks,"Waterborne, Rare infection","Antifungal, Antimicrobial","Swimming in Warm Water, Poor Sanitation","Poor sanitation, Warm water sources",Irregular sleep,High stress,Low,Family history of waterborne diseases,"Hydrating, Low-sugar diet",,"Summer, Rainy season","Children, Adults",Both genders,Exposure to warm water,Avoids contaminated water sources,"Neem leaves (5-6), Warm water (200ml)",Pitta,Pitta-Prakriti,Avoid exposure to contaminated water; consume plenty of fluids.,None specific,"Antifungal, Antibiotics, Surgery","Avoid Warm Water, Good Hygiene",Can be Managed with Medication,"Brain Damage, Death",Avoid Swimming in Contaminated Water,None specific,None specific
Nephrotic Syndrome,"Swelling, fatigue, foamy urine","Urine Tests, Blood Tests, Biopsy",Severe,Lifelong,"Kidney disease, Proteinuria","Steroids, Diuretics","Kidney Disease, Diabetes, Infections","Poor kidney function, Stress",Irregular sleep,High stress,Low,Family history of kidney diseases,"Low-salt, High-protein diet",,"Winter, Rainy season","Children, Adults",Both genders,Sedentary lifestyle,Avoids salt-rich foods,"Ashwagandha (5g), Triphala (1 tsp), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Avoid salty foods; maintain hydration and a kidney-friendly diet.,None specific,"Medications, Dialysis","Healthy Diet, Regular Monitoring",Can be Managed with Medication,"Kidney Failure, Infections","Early Diagnosis, Regular Monitoring",None specific,None specific
Neurofibromatosis,"Lumps on the skin, learning difficulties, vision issues","Genetic Testing, MRI, Physical Exam",Moderate to Severe,Lifelong,"Genetic, Tumor growth",Symptom-specific therapy,"Genetic Mutations, Family History","Genetic, Physical strain",Irregular sleep,High stress,Low,Family history of neurofibromatosis,"Balanced, Nutrient-rich diet",,All seasons,Childhood to adulthood,Both genders,Requires regular check-ups,Avoids environmental toxins,"Ashwagandha (5g), Brahmi (2g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Focus on cognitive health; engage in moderate exercise and a healthy diet.,None specific,"Surgery, Medications","Genetic Counseling, Early Diagnosis",Can be Managed with Treatment,"Tumors, Cognitive Issues","Early Diagnosis, Regular Monitoring",None specific,None specific
Neurotoxocariasis,"Fever, cough, abdominal pain, muscle weakness","Blood Tests, MRI, Biopsy",Severe,1-3 months,Parasitic infection,"Anthelmintics, Antifungals","Poor Sanitation, Animal Exposure","Poor sanitation, Contact with contaminated soil",Irregular sleep,Moderate stress,Low,Family history of parasitic infections,"Hydrating, Balanced diet",,Rainy season,"Children, Adults",Both genders,Exposure to contaminated soil,Avoids contaminated soil,"Neem leaves (5-6), Water (as needed)",Kapha,Kapha-Prakriti,Practice good hygiene; consume immune-boosting foods like garlic and ginger.,None specific,"Antiparasitic Medications, Surgery","Avoid Animal Contact, Good Hygiene",Can be Managed with Medication,"Organ Damage, Infections","Avoid Animal Contact, Regular Checkups",None specific,None specific
Niemann-Pick Disease,"Enlarged liver and spleen, developmental delay, difficulty swallowing","Genetic Testing, Imaging, Biopsy",Severe,Lifelong,"Genetic, Lipid storage disorder",Symptom-specific therapy,"Genetic Mutations, Family History","Genetic, Environmental stress",Irregular sleep,High stress,Low,Family history of genetic disorders,"Low-fat, Nutrient-rich diet",,All seasons,Infancy to childhood,Both genders,Requires caregiver support,Avoids environmental toxins,"Ashwagandha (5g), Triphala (1 tsp), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Focus on liver health; provide easily digestible and nutrient-dense foods.,None specific,"Enzyme Replacement, Supportive Care","Genetic Counseling, Early Diagnosis",Can be Managed with Treatment,"Organ Damage, Cognitive Decline","Early Diagnosis, Regular Monitoring",None specific,None specific
Nipah Virus Infection,"Fever, headache, dizziness, respiratory distress, confusion","Blood Tests, PCR Tests",Severe,1-3 weeks,"Viral, Zoonotic disease","Antiviral drugs, Symptom-specific therapy","Animal Exposure, Poor Hygiene",Exposure to infected animals,Irregular sleep,High stress,Low,Family history of viral infections,"Hydrating, High-protein diet",,Rainy season,All age groups,Both genders,Exposure to animals,Avoids infected environments,"Neem leaves (5-6), Warm water (200ml)",Pitta,Pitta-Prakriti,Maintain hydration; consume immune-boosting foods like garlic and ginger.,None specific,"Antiviral Medications, Supportive Care","Avoid Animal Contact, Hygiene",Can be Managed with Medication,"Encephalitis, Organ Failure","Early Diagnosis, Regular Monitoring",None specific,None specific
Noonan Syndrome,"Short stature, heart defects, developmental delay","Genetic Testing, Physical Exam",Moderate to Severe,Lifelong,"Genetic, Developmental delays","Hormone therapy, Symptom-specific treatment","Genetic Mutations, Family History","Genetic, Physical strain",Irregular sleep,Moderate stress,Low,Family history of genetic disorders,"High-protein, Balanced diet",,All seasons,Childhood,Both genders,Requires regular check-ups,Avoids high-stress environments,"Ashwagandha (5g), Brahmi (2g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Provide a balanced diet for growth and development; encourage regular exercise.,None specific,"Medications, Surgery","Genetic Counseling, Early Diagnosis",Can be Managed with Treatment,"Heart Issues, Short Stature","Early Diagnosis, Regular Monitoring",None specific,None specific
Obesity,"Excessive weight, fatigue, difficulty in physical activity","Blood Tests, BMI Measurement",Severe,Lifelong,"Lifestyle, Overeating, Sedentary lifestyle","Weight loss medications, Surgery","Poor Diet, Lack of Exercise, Genetics","Poor diet, Sedentary lifestyle",Irregular sleep,High stress,Low to moderate,Family history of obesity,"Low-calorie, Balanced diet",,All seasons,"Adults, Children",Both genders,Sedentary lifestyle,Avoids high-fat foods,"Triphala (1 tsp), Fenugreek (3g), Warm water (200ml)","Kapha, Pitta",Kapha-Prakriti,"Follow a low-carb, high-fiber diet; practice regular physical activity.",Yoga for Weight Management,"Medications, Surgery","Healthy Diet, Regular Exercise",Can Be Managed with Treatment,"Cardiovascular Disease, Diabetes","Healthy Diet, Regular Exercise","Herbal Remedies, Diet Changes","Triphala, Guggul, Ashwagandha"
Onchocerciasis (River Blindness),"Itchy skin, vision impairment, swollen lymph nodes","Blood Tests, Skin Biopsy",Severe,6-12 months,Parasitic infection,Anthelmintics,"Poor Sanitation, Exposure to Flies","Poor sanitation, River exposure",Irregular sleep,High stress,Low,Family history of parasitic infections,"High-protein, Hydrating diet",,Rainy season,"Adults, Children",Both genders,Exposure to rivers,Avoids river contact,"Neem leaves (5-6), Water (as needed)",Kapha,Kapha-Prakriti,Use insect repellents; maintain eye health and hygiene.,None specific,"Antiparasitic Medications, Surgery","Avoid Fly Exposure, Hygiene",Can Be Managed with Medication,"Vision Loss, Skin Lesions","Good Hygiene, Avoid Fly Exposure",None specific,None specific
Opistorchiasis,"Abdominal pain, nausea, fatigue, liver enlargement","Stool Tests, Blood Tests",Moderate to Severe,1-3 months,"Parasitic, Contaminated food",Anthelmintics,"Eating Raw Fish, Poor Sanitation","Poor sanitation, Contaminated food",Irregular sleep,Moderate stress,Low,Family history of parasitic infections,"Balanced, Nutrient-rich diet",,All seasons,Adults,Both genders,Exposure to contaminated food,Avoids undercooked food,"Triphala (1 tsp), Neem (2g), Warm water (200ml)","Pitta, Kapha",Pitta-Kapha,Maintain liver health; focus on gut health with a fiber-rich diet.,None specific,Antiparasitic Medications,"Avoid Eating Raw Fish, Good Hygiene",Can Be Managed with Medication,"Liver Damage, Pancreatitis","Avoid Raw Fish, Good Hygiene",None specific,None specific
Osteoarthritis,"Joint pain, swelling, stiffness","Physical Exam, X-ray, MRI",Moderate to Severe,Lifelong,"Age, Wear and tear, Joint pain","Pain relievers, Physiotherapy","Age, Joint Injury, Genetics","Physical strain, Aging",Irregular sleep,High stress,Low to moderate,Family history of joint problems,"Balanced, Anti-inflammatory diet",,"Winter, Rainy season","Adults, Elderly",Both genders,Sedentary lifestyle,Avoids joint strain,"Turmeric (1/2 tsp), Milk (200ml)","Vata, Kapha",Vata-Kapha,Avoid cold foods; engage in regular joint-friendly exercises.,Yoga for Joint Mobility,"Pain Relievers, Surgery","Healthy Diet, Regular Exercise",Can be Managed with Treatment,"Joint Pain, Stiffness","Regular Exercise, Weight Management","Herbal Remedies, Lifestyle Changes","Turmeric, Ashwagandha"
Osteogenesis Imperfecta,"Fragile bones, frequent fractures, skeletal deformities","Genetic Testing, Bone Density Test",Severe,Lifelong,"Genetic, Bone fragility",Symptom-specific therapy,"Genetic Mutations, Family History","Genetic, Physical strain",Irregular sleep,High stress,Low,Family history of bone disorders,"High-calcium, Nutrient-rich diet",,All seasons,"Childhood, Adults",Both genders,Limited physical activity,Avoids bone stress,"Ashwagandha (5g), Brahmi (2g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Ensure calcium and vitamin D intake; maintain bone strength through gentle exercises.,Physical Therapy for Strengthening,"Supportive Care, Medications","Genetic Counseling, Early Diagnosis",Can be Managed with Treatment,"Bone Fractures, Mobility Issues","Regular Monitoring, Bone Protection",None specific,None specific
Osteopetrosis,"Bone pain, fractures, vision and hearing problems","Bone Density Test, Genetic Testing",Severe,Lifelong,"Genetic, Bone hardening",Symptom-specific therapy,"Genetic Mutations, Family History","Genetic, Physical strain",Irregular sleep,High stress,Low,Family history of bone disorders,"High-calcium, Nutrient-rich diet",,All seasons,Childhood to adulthood,Both genders,Limited physical activity,Avoids bone strain,"Ashwagandha (5g), Triphala (1 tsp), Warm water (200ml)","Vata, Kapha",Vata-Kapha,"Focus on bone health; ensure nutrient-rich diet, including calcium and vitamin D.",None specific,"Bone Marrow Transplant, Medications","Genetic Counseling, Early Diagnosis",Can be Managed with Treatment,"Bone Fractures, Vision Loss","Early Diagnosis, Bone Protection",None specific,None specific
Osteoporosis,"Fragile bones, fractures, height loss","Bone Density Test, X-ray",Severe,Lifelong,"Aging, Bone density loss","Bisphosphonates, Calcium supplements","Age, Lack of Physical Activity, Genetics","Aging, Physical inactivity",Irregular sleep,Moderate stress,Low,Family history of osteoporosis,"High-calcium, Vitamin D diet",,"Winter, Rainy season","Elderly, Adults",Both genders,Sedentary lifestyle,Avoids bone fractures,"Ashwagandha (5g), Shatavari (5g), Warm water (200ml)",Vata,Vata-Prakriti,Ensure calcium-rich diet; engage in weight-bearing exercises for bone strength.,Yoga for Bone Strength,"Medications, Bone Strengthening","Weight-Bearing Exercise, Healthy Diet",Can be Managed with Treatment,"Bone Fractures, Back Pain","Regular Exercise, Healthy Diet","Calcium, Vitamin D, Herbal Remedies","Ashwagandha, Guggul, Shatavari"
Ovarian Cancer,"Abdominal bloating, pelvic pain, irregular periods","Ultrasound, CT Scan, Biopsy",Severe,Lifelong,"Family history, Hormonal imbalance","Chemotherapy, Targeted therapy","Family History, Hormonal Imbalance","Hormonal imbalances, Genetics",Irregular sleep,High stress,Low,Family history of cancer,"Low-fat, High-protein diet",,All seasons,Adult,Female,Sedentary lifestyle,Avoids processed foods,"Turmeric (1/2 tsp), Ashwagandha (5g), Warm water (200ml)",Pitta,Pitta-Prakriti,Follow a diet rich in antioxidants; focus on a healthy weight and stress management.,None specific,"Surgery, Chemotherapy","Regular Check-ups, Genetic Counseling",Depends on Stage of Cancer,"Metastasis, Fertility Issues","Early Detection, Regular Monitoring",None specific,None specific
Pancreatic Cancer,"Abdominal pain, weight loss, jaundice","CT Scan, Biopsy, Blood Tests",Severe,Lifelong,"Family history, Chronic pancreatitis","Chemotherapy, Radiation therapy","Smoking, Alcohol Use, Family History","Chronic inflammation, Smoking",Irregular sleep,High stress,Low,Family history of cancer,"Low-fat, High-protein diet",,All seasons,Adult,Both genders,Sedentary lifestyle,Avoids alcohol,"Ashwagandha (5g), Triphala (1 tsp), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Avoid processed foods; consume a fiber-rich diet and limit alcohol intake.,None specific,"Surgery, Chemotherapy","Avoid Smoking, Healthy Diet",Poor Prognosis,"Metastasis, Digestive Issues","Early Detection, Healthy Lifestyle",None specific,None specific
Pancreatitis,"Upper abdominal pain, nausea, vomiting","Blood Tests, Ultrasound, CT Scan",Moderate to Severe,1-3 months,"Alcohol use, Gallstones, Infection","Pain relievers, Enzyme supplements","Alcohol Use, Gallstones, Genetics","Alcohol, Gallstones, Infection",Irregular sleep,High stress,Low,Family history of gallstones,"Low-fat, High-fiber diet",,All seasons,Adult,Both genders,Sedentary lifestyle,Avoids alcohol,"Ginger (2g), Turmeric (1/2 tsp), Warm water (200ml)",Pitta,Pitta-Prakriti,Avoid fatty and fried foods; maintain hydration with herbal teas.,None specific,"Medications, Surgery","Avoid Alcohol, Healthy Diet",Can Be Managed with Treatment,"Organ Failure, Digestive Issues","Avoid Alcohol, Healthy Diet",None specific,None specific
Paracoccidioidomycosis,"Fever, cough, weight loss, enlarged lymph nodes","Blood Tests, Skin Biopsy, CT Scan",Severe,6-12 months,"Fungal infection, Immune suppression",Antifungal medications,"Poor Sanitation, Exposure to Soil","Exposure to soil, Rural areas",Irregular sleep,Moderate stress,Low,No family history,"High-protein, Antifungal diet",,Rainy season,Adult,Both genders,Exposure to soil,Avoids crowded areas,"Neem leaves (5-6), Water (as needed)",Pitta,Pitta-Prakriti,Focus on immunity-boosting foods and maintaining hydration.,None specific,"Antifungal Medications, Surgery","Avoid Soil Exposure, Good Hygiene",Can Be Managed with Medication,"Skin Lesions, Lung Damage","Good Hygiene, Avoid Soil Exposure",None specific,None specific
Paragonimiasis,"Cough, fever, chest pain, blood in sputum","Stool Tests, Blood Tests",Moderate to Severe,6-12 months,Parasitic infection,Anthelmintics,"Eating Raw Freshwater Fish, Poor Hygiene","Poor sanitation, Consumption of undercooked food",Irregular sleep,Moderate stress,Low,Family history of parasitic infections,"Balanced, Antifungal diet",,All seasons,Adult,Both genders,Exposure to undercooked food,Avoids contaminated water,"Neem leaves (5-6), Water (as needed)","Pitta, Kapha",Pitta-Kapha,"Focus on lung health; avoid cold foods and include warm, easy-to-digest meals.",None specific,"Antiparasitic Medications, Surgery","Avoid Raw Fish, Good Hygiene",Can Be Managed with Medication,"Lung Damage, Coughing","Avoid Raw Fish, Good Hygiene",None specific,None specific
Parkinson's Disease,"Tremors, muscle rigidity, slow movement, balance problems","Neurological Exam, MRI, PET Scan",Severe,Lifelong,"Genetic, Aging","Levodopa, Dopamine agonists","Age, Genetics, Environmental Toxins","Aging, Environmental toxins",Irregular sleep,High stress,Moderate to high,Family history of Parkinson's,"High-antioxidant, Nutrient-rich diet",,"Winter, Rainy season",Elderly,Both genders,Sedentary lifestyle,Avoids environmental toxins,"Ashwagandha (5g), Brahmi (2g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Ensure adequate physical therapy; maintain a nutrient-rich diet to support nervous system health.,Yoga for Mobility and Balance,"Medications, Surgery","Regular Exercise, Healthy Diet",Can Be Managed with Medication,"Tremors, Mobility Issues","Regular Exercise, Healthy Diet","Herbal Remedies, Lifestyle Changes","Ashwagandha, Brahmi"
Pelvic Floor Disorders,"Urinary incontinence, pelvic pressure, constipation","Physical Exam, Ultrasound, MRI",Moderate to Severe,Lifelong,"Pregnancy, Childbirth, Aging","Pelvic exercises, Surgery","Pregnancy, Childbirth, Aging","Pregnancy, Childbirth, Obesity",Irregular sleep,High stress,Low,Family history of pelvic disorders,"High-fiber, Hydrating diet",,All seasons,"Adult, Elderly",Female,Sedentary lifestyle,Avoids heavy lifting,"Ashwagandha (5g), Shatavari (5g), Warm water (200ml)","Vata, Kapha",Vata-Kapha,Practice pelvic floor exercises; focus on hydration and fiber-rich foods.,Yoga for Pelvic Strength,"Surgery, Medications","Kegel Exercises, Healthy Diet",Can Be Managed with Treatment,"Incontinence, Organ Prolapse","Kegel Exercises, Regular Monitoring","Kegel Exercises, Lifestyle Changes","Ashwagandha, Shatavari"
Peptic Ulcers,"Stomach pain, nausea, indigestion, bloating","Endoscopy, Blood Tests, Stool Test",Moderate to Severe,1-2 months,"Stress, Helicobacter pylori infection","Proton pump inhibitors, Antacids","H. Pylori Infection, Stress, Alcohol","Alcohol, Spicy food, Smoking",Irregular sleep,High stress,Low to moderate,Family history of ulcers,"Low-fat, High-fiber diet",,"Winter, Rainy season",Adult,Both genders,High-stress occupation,Avoids spicy food,"Ginger (2g), Aloe Vera (2 tbsp), Warm water (200ml)",Pitta,Pitta-Prakriti,Avoid spicy foods; consume cooling foods like cucumbers and coconut water.,Yoga for Stress Relief,"Medications, Surgery","Avoid Alcohol, Eat Balanced Diet",Can Be Managed with Medication,"Stomach Bleeding, Perforation","Avoid Irritating Foods, Manage Stress","Herbal Remedies, Diet Changes","Licorice, Ginger"
Peripheral Artery Disease,"Leg pain, cramping, numbness, slow wound healing","Ultrasound, Angiography, CT Scan",Moderate to Severe,Lifelong,"Smoking, High blood pressure","Statins, Antiplatelet drugs","Smoking, Diabetes, Hypertension","Smoking, Poor diet, Physical inactivity",Irregular sleep,High stress,Low to moderate,Family history of heart disease,"Low-fat, High-fiber diet",,All seasons,"Elderly, Adults",Both genders,Sedentary lifestyle,Avoids smoking,"Turmeric (1/2 tsp), Ginger (2g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Engage in regular physical activity; consume foods that support circulation like garlic.,Physical Therapy for Circulation,"Medications, Surgery","Quit Smoking, Healthy Diet",Can Be Managed with Treatment,"Amputation, Heart Disease","Regular Exercise, Healthy Diet","Herbal Remedies, Lifestyle Changes",None specific
Peutz-Jeghers Syndrome,"Mucocutaneous pigmentation, gastrointestinal polyps","Genetic Testing, Endoscopy",Moderate to Severe,Lifelong,"Genetic, Polyp formation",Symptom-specific therapy,"Genetic Mutations, Family History","Genetic, Polyp-related",Irregular sleep,High stress,Low,Family history of genetic disorders,"Balanced, High-protein diet",,All seasons,"Childhood, Adult",Both genders,Requires regular check-ups,Avoids processed foods,"Triphala (1 tsp), Ashwagandha (5g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Focus on gastrointestinal health; consume fiber-rich foods and antioxidants.,None specific,"Surgery, Surveillance","Genetic Counseling, Regular Screening",Can Be Managed with Treatment,"Cancer, Gastrointestinal Issues","Regular Monitoring, Genetic Counseling",None specific,None specific
Pfeiffer Syndrome,"Craniofacial abnormalities, developmental delays","Genetic Testing, Physical Exam",Severe,Lifelong,"Genetic, Craniofacial abnormalities",Symptom-specific therapy,"Genetic Mutations, Family History",Genetic,Irregular sleep,High stress,Low,Family history of genetic disorders,"High-protein, Nutrient-rich diet",,All seasons,Childhood,Both genders,Requires special care,Avoids overexertion,"Brahmi (2g), Ashwagandha (5g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Provide developmental support; ensure a balanced diet with essential nutrients.,None specific,"Surgery, Supportive Care","Genetic Counseling, Early Diagnosis",Can Be Managed with Treatment,"Cranial Deformities, Developmental Delay","Early Diagnosis, Regular Monitoring",None specific,None specific
Phenylketonuria (PKU),"Intellectual disability, developmental delay, eczema","Blood Tests, Genetic Testing",Severe,Lifelong,Genetic disorder,Phenylalanine-restricted diet,"Genetic Mutations, Family History",Genetic,Irregular sleep,Moderate stress,Low,Family history of PKU,Phenylalanine-restricted diet,,All seasons,Childhood,Both genders,Needs specialized care,Avoids high-protein foods,"Ashwagandha (5g), Brahmi (2g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Follow a strict low-phenylalanine diet; support cognitive development with nutrition.,None specific,"Diet, Medications","Early Diagnosis, Dietary Changes",Can Be Managed with Treatment,"Cognitive Impairment, Neurological Damage","Regular Monitoring, Special Diet","Diet Changes, Herbal Remedies",None specific
Pinta,"Skin lesions, joint pain, swelling","Skin Biopsy, Blood Tests",Moderate to Severe,6-12 months,"Bacterial infection, Tropical regions",Antibiotics,"Poor Sanitation, Direct Skin Contact","Poor sanitation, Tropical climates",Irregular sleep,Moderate stress,Low,No family history,"High-fiber, Hydrating diet",,Tropical season,"Childhood, Adult",Both genders,Exposure to poor sanitation,Avoids contaminated water,"Neem leaves (5-6), Water (as needed)",Pitta,Pitta-Prakriti,Focus on maintaining skin hygiene and avoiding irritants.,None specific,Antibiotics,"Good Hygiene, Avoid Direct Contact",Can Be Managed with Medication,Skin Lesions,"Good Hygiene, Avoid Contact",None specific,None specific
Pitt-Hopkins Syndrome,"Developmental delay, breathing problems, facial abnormalities","Genetic Testing, Physical Exam",Severe,Lifelong,"Genetic, Intellectual disability",Symptom-specific therapy,"Genetic Mutations, Family History",Genetic,Irregular sleep,High stress,Low,Family history of genetic disorders,"High-protein, Nutrient-rich diet",,All seasons,Childhood,Both genders,Requires special care,Avoids overstimulation,"Brahmi (2g), Ashwagandha (5g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Provide speech and developmental therapy; ensure a nutrient-dense diet for growth.,None specific,"Supportive Care, Medications","Genetic Counseling, Early Diagnosis",Can Be Managed with Supportive Care,"Cognitive Impairment, Developmental Delays","Early Diagnosis, Regular Monitoring",None specific,None specific
Pituitary Tumors,"Headaches, vision problems, hormonal imbalances","MRI, CT Scan, Blood Tests",Severe,Lifelong,"Hormonal imbalances, Tumor growth","Surgery, Hormone therapy","Hormonal Imbalance, Genetics","Hormonal imbalances, Genetic risk",Irregular sleep,High stress,Low,Family history of tumors,"Low-fat, Balanced diet",,All seasons,"Adult, Elderly",Both genders,Requires regular monitoring,Avoids stress,"Ashwagandha (5g), Brahmi (2g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Maintain a balanced diet; practice stress reduction techniques such as yoga.,None specific,"Surgery, Radiation, Medications","Regular Check-ups, Genetic Counseling",Can Be Managed with Treatment,"Hormonal Imbalance, Vision Loss","Regular Monitoring, Hormonal Therapy",None specific,None specific
Pneumoconiosis,"Shortness of breath, coughing, fatigue","Chest X-ray, CT Scan, Pulmonary Function Test",Severe,Lifelong,Occupational exposure to dust,Symptom-specific therapy,"Occupational Exposure, Smoking","Dusty environments, Occupation",Irregular sleep,High stress,Low,Family history of lung diseases,"High-fiber, Antioxidant diet",,"Winter, Cold season",Adult,Both genders,Occupational exposure,Avoids smoking,"Turmeric (1/2 tsp), Milk (200ml)","Vata, Kapha",Vata-Kapha,Avoid exposure to harmful dust; focus on lung health with antioxidants.,None specific,"Medications, Oxygen Therapy","Avoid Exposure to Dust, Smoking Cessation",Can Be Managed with Treatment,"Lung Damage, Respiratory Failure","Regular Check-ups, Avoid Exposure",None specific,None specific
